model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,quality,k_fixed,23,fixed,15,openai,gpt-5.6-terra,primary,run_113,2139,success,TRUE,completed,3656,1027,NA
gpt_terra,quality,k_fixed,24,fixed,15,openai,gpt-5.6-terra,primary,run_114,2140,success,TRUE,completed,3656,1179,NA
gpt_terra,quality,k_fixed,25,fixed,15,openai,gpt-5.6-terra,primary,run_115,2141,success,TRUE,completed,3656,983,NA
gpt_terra,quality,k_fixed,26,fixed,15,openai,gpt-5.6-terra,primary,run_116,2142,success,TRUE,completed,3656,1426,NA
gpt_terra,quality,k_fixed,27,fixed,15,openai,gpt-5.6-terra,primary,run_117,2143,success,TRUE,completed,3656,1155,NA
gpt_terra,quality,k_fixed,28,fixed,15,openai,gpt-5.6-terra,primary,run_118,2144,success,TRUE,completed,3656,1196,NA
gpt_terra,quality,k_fixed,29,fixed,15,openai,gpt-5.6-terra,primary,run_119,2145,success,TRUE,completed,3656,1210,NA
gpt_terra,quality,k_fixed,30,fixed,15,openai,gpt-5.6-terra,primary,run_120,2146,success,TRUE,completed,3656,1074,NA
gpt_terra,creativity,k_free,1,free,NA,openai,gpt-5.6-terra,primary,run_121,2147,success,TRUE,completed,3714,1389,NA
gpt_terra,creativity,k_free,2,free,NA,openai,gpt-5.6-terra,primary,run_122,2148,success,TRUE,completed,3714,1198,NA
gpt_terra,creativity,k_free,3,free,NA,openai,gpt-5.6-terra,primary,run_123,2149,success,TRUE,completed,3714,1597,NA
gpt_terra,creativity,k_free,4,free,NA,openai,gpt-5.6-terra,primary,run_124,2150,success,TRUE,completed,3714,1463,NA
gpt_terra,creativity,k_free,5,free,NA,openai,gpt-5.6-terra,primary,run_125,2151,success,TRUE,completed,3714,1304,NA
gpt_terra,creativity,k_free,6,free,NA,openai,gpt-5.6-terra,primary,run_126,2152,success,TRUE,completed,3714,1252,NA
gpt_terra,creativity,k_free,7,free,NA,openai,gpt-5.6-terra,primary,run_127,2153,success,TRUE,completed,3714,1544,NA
gpt_terra,creativity,k_free,8,free,NA,openai,gpt-5.6-terra,primary,run_128,2154,success,TRUE,completed,3714,1255,NA
gpt_terra,creativity,k_free,9,free,NA,openai,gpt-5.6-terra,primary,run_129,2155,success,TRUE,completed,3714,1616,NA
gpt_terra,creativity,k_free,10,free,NA,openai,gpt-5.6-terra,primary,run_130,2156,success,TRUE,completed,3714,1837,NA
gpt_terra,creativity,k_free,11,free,NA,openai,gpt-5.6-terra,primary,run_131,2157,success,TRUE,completed,3714,1697,NA
gpt_terra,creativity,k_free,12,free,NA,openai,gpt-5.6-terra,primary,run_132,2158,success,TRUE,completed,3714,1241,NA
gpt_terra,creativity,k_free,13,free,NA,openai,gpt-5.6-terra,primary,run_133,2159,success,TRUE,completed,3714,1227,NA
gpt_terra,creativity,k_free,14,free,NA,openai,gpt-5.6-terra,primary,run_134,2160,success,TRUE,completed,3714,1254,NA
gpt_terra,creativity,k_free,15,free,NA,openai,gpt-5.6-terra,primary,run_135,2161,success,TRUE,completed,3714,1296,NA
gpt_terra,creativity,k_free,16,free,NA,openai,gpt-5.6-terra,primary,run_136,2162,success,TRUE,completed,3714,1733,NA
gpt_terra,creativity,k_free,17,free,NA,openai,gpt-5.6-terra,primary,run_137,2163,success,TRUE,completed,3714,1450,NA
gpt_terra,creativity,k_free,18,free,NA,openai,gpt-5.6-terra,primary,run_138,2164,success,TRUE,completed,3714,1094,NA
gpt_terra,creativity,k_free,19,free,NA,openai,gpt-5.6-terra,primary,run_139,2165,success,TRUE,completed,3714,1274,NA
gpt_terra,creativity,k_free,20,free,NA,openai,gpt-5.6-terra,primary,run_140,2166,success,TRUE,completed,3714,1458,NA
gpt_terra,creativity,k_free,21,free,NA,openai,gpt-5.6-terra,primary,run_141,2167,success,TRUE,completed,3714,1438,NA
gpt_terra,creativity,k_free,22,free,NA,openai,gpt-5.6-terra,primary,run_142,2168,success,TRUE,completed,3714,1197,NA
gpt_terra,creativity,k_free,23,free,NA,openai,gpt-5.6-terra,primary,run_143,2169,success,TRUE,completed,3714,1368,NA
gpt_terra,creativity,k_free,24,free,NA,openai,gpt-5.6-terra,primary,run_144,2170,success,TRUE,completed,3714,1452,NA
gpt_terra,creativity,k_free,25,free,NA,openai,gpt-5.6-terra,primary,run_145,2171,success,TRUE,completed,3714,1439,NA
gpt_terra,creativity,k_free,26,free,NA,openai,gpt-5.6-terra,primary,run_146,2172,success,TRUE,completed,3714,1295,NA
gpt_terra,creativity,k_free,27,free,NA,openai,gpt-5.6-terra,primary,run_147,2173,success,TRUE,completed,3714,1399,NA
gpt_terra,creativity,k_free,28,free,NA,openai,gpt-5.6-terra,primary,run_148,2174,success,TRUE,completed,3714,1384,NA
gpt_terra,creativity,k_free,29,free,NA,openai,gpt-5.6-terra,primary,run_149,2175,success,TRUE,completed,3714,1424,NA
gpt_terra,creativity,k_free,30,free,NA,openai,gpt-5.6-terra,primary,run_150,2176,success,TRUE,completed,3714,1241,NA
gpt_terra,creativity,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,run_151,2177,success,TRUE,completed,3682,1012,NA
gpt_terra,creativity,k_fixed,2,fixed,15,openai,gpt-5.6-terra,primary,run_152,2178,success,TRUE,completed,3682,1211,NA
gpt_terra,creativity,k_fixed,3,fixed,15,openai,gpt-5.6-terra,primary,run_153,2179,success,TRUE,completed,3682,991,NA
gpt_terra,creativity,k_fixed,4,fixed,15,openai,gpt-5.6-terra,primary,run_154,2180,success,TRUE,completed,3682,1163,NA
gpt_terra,creativity,k_fixed,5,fixed,15,openai,gpt-5.6-terra,primary,run_155,2181,success,TRUE,completed,3682,1227,NA
gpt_terra,creativity,k_fixed,6,fixed,15,openai,gpt-5.6-terra,primary,run_156,2182,success,TRUE,completed,3682,993,NA
gpt_terra,creativity,k_fixed,7,fixed,15,openai,gpt-5.6-terra,primary,run_157,2183,success,TRUE,completed,3682,1062,NA
gpt_terra,creativity,k_fixed,8,fixed,15,openai,gpt-5.6-terra,primary,run_158,2184,success,TRUE,completed,3682,1156,NA
gpt_terra,creativity,k_fixed,9,fixed,15,openai,gpt-5.6-terra,primary,run_159,2185,success,TRUE,completed,3682,1198,NA
gpt_terra,creativity,k_fixed,10,fixed,15,openai,gpt-5.6-terra,primary,run_160,2186,success,TRUE,completed,3682,1049,NA
gpt_terra,creativity,k_fixed,11,fixed,15,openai,gpt-5.6-terra,primary,run_161,2187,success,TRUE,completed,3682,1134,NA
gpt_terra,creativity,k_fixed,12,fixed,15,openai,gpt-5.6-terra,primary,run_162,2188,success,TRUE,completed,3682,1188,NA
gpt_terra,creativity,k_fixed,13,fixed,15,openai,gpt-5.6-terra,primary,run_163,2189,success,TRUE,completed,3682,1162,NA
gpt_terra,creativity,k_fixed,14,fixed,15,openai,gpt-5.6-terra,primary,run_164,2190,success,TRUE,completed,3682,1213,NA
gpt_terra,creativity,k_fixed,15,fixed,15,openai,gpt-5.6-terra,primary,run_165,2191,success,TRUE,completed,3682,1029,NA
gpt_terra,creativity,k_fixed,16,fixed,15,openai,gpt-5.6-terra,primary,run_166,2192,success,TRUE,completed,3682,1288,NA
gpt_terra,creativity,k_fixed,17,fixed,15,openai,gpt-5.6-terra,primary,run_167,2193,success,TRUE,completed,3682,1166,NA
gpt_terra,creativity,k_fixed,18,fixed,15,openai,gpt-5.6-terra,primary,run_168,2194,success,TRUE,completed,3682,1065,NA
gpt_terra,creativity,k_fixed,19,fixed,15,openai,gpt-5.6-terra,primary,run_169,2195,success,TRUE,completed,3682,1176,NA
gpt_terra,creativity,k_fixed,20,fixed,15,openai,gpt-5.6-terra,primary,run_170,2196,success,TRUE,completed,3682,1190,NA
gpt_terra,creativity,k_fixed,21,fixed,15,openai,gpt-5.6-terra,primary,run_171,2197,success,TRUE,completed,3682,1152,NA
gpt_terra,creativity,k_fixed,22,fixed,15,openai,gpt-5.6-terra,primary,run_172,2198,success,TRUE,completed,3682,1038,NA
