model,instruction_type,condition,replicate,budget,k,provider,model_id,role,run_id,presentation_seed,status,ok,stop_reason,input_tokens,output_tokens,error
gpt_terra,basic,k_fixed,87,fixed,15,openai,gpt-5.6-terra,primary,run_087,10002113,success,TRUE,completed,3626,1208,NA
gpt_terra,basic,k_fixed,88,fixed,15,openai,gpt-5.6-terra,primary,run_088,10002114,success,TRUE,completed,3626,1189,NA
gpt_terra,basic,k_fixed,89,fixed,15,openai,gpt-5.6-terra,primary,run_089,10002115,success,TRUE,completed,3626,1055,NA
gpt_terra,basic,k_fixed,90,fixed,15,openai,gpt-5.6-terra,primary,run_090,10002116,success,TRUE,completed,3626,1235,NA
gpt_terra,basic,k_fixed,91,fixed,15,openai,gpt-5.6-terra,primary,run_091,10002117,success,TRUE,completed,3626,1038,NA
gpt_terra,basic,k_fixed,92,fixed,15,openai,gpt-5.6-terra,primary,run_092,10002118,success,TRUE,completed,3626,1203,NA
gpt_terra,basic,k_fixed,93,fixed,15,openai,gpt-5.6-terra,primary,run_093,10002119,success,TRUE,completed,3626,1021,NA
gpt_terra,basic,k_fixed,94,fixed,15,openai,gpt-5.6-terra,primary,run_094,10002120,success,TRUE,completed,3626,1006,NA
gpt_terra,basic,k_fixed,95,fixed,15,openai,gpt-5.6-terra,primary,run_095,10002121,success,TRUE,completed,3626,1006,NA
gpt_terra,basic,k_fixed,96,fixed,15,openai,gpt-5.6-terra,primary,run_096,10002122,success,TRUE,completed,3626,1283,NA
gpt_terra,basic,k_fixed,97,fixed,15,openai,gpt-5.6-terra,primary,run_097,10002123,success,TRUE,completed,3626,1177,NA
gpt_terra,basic,k_fixed,98,fixed,15,openai,gpt-5.6-terra,primary,run_098,10002124,success,TRUE,completed,3626,1237,NA
gpt_terra,basic,k_fixed,99,fixed,15,openai,gpt-5.6-terra,primary,run_099,10002125,success,TRUE,completed,3626,1036,NA
gpt_terra,basic,k_fixed,100,fixed,15,openai,gpt-5.6-terra,primary,run_100,10002126,success,TRUE,completed,3626,983,NA
gpt_terra,basic,k_fixed,101,fixed,15,openai,gpt-5.6-terra,primary,run_101,10002127,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,102,fixed,15,openai,gpt-5.6-terra,primary,run_102,10002128,success,TRUE,completed,3626,1008,NA
gpt_terra,basic,k_fixed,103,fixed,15,openai,gpt-5.6-terra,primary,run_103,10002129,success,TRUE,completed,3626,990,NA
gpt_terra,basic,k_fixed,104,fixed,15,openai,gpt-5.6-terra,primary,run_104,10002130,success,TRUE,completed,3626,1181,NA
gpt_terra,basic,k_fixed,105,fixed,15,openai,gpt-5.6-terra,primary,run_105,10002131,success,TRUE,completed,3626,1020,NA
gpt_terra,basic,k_fixed,106,fixed,15,openai,gpt-5.6-terra,primary,run_106,10002132,success,TRUE,completed,3626,1281,NA
gpt_terra,basic,k_fixed,107,fixed,15,openai,gpt-5.6-terra,primary,run_107,10002133,success,TRUE,completed,3626,1216,NA
gpt_terra,basic,k_fixed,108,fixed,15,openai,gpt-5.6-terra,primary,run_108,10002134,success,TRUE,completed,3626,1201,NA
gpt_terra,basic,k_fixed,109,fixed,15,openai,gpt-5.6-terra,primary,run_109,10002135,success,TRUE,completed,3626,1077,NA
gpt_terra,basic,k_fixed,110,fixed,15,openai,gpt-5.6-terra,primary,run_110,10002136,success,TRUE,completed,3626,1239,NA
gpt_terra,basic,k_fixed,111,fixed,15,openai,gpt-5.6-terra,primary,run_111,10002137,success,TRUE,completed,3626,1015,NA
gpt_terra,basic,k_fixed,112,fixed,15,openai,gpt-5.6-terra,primary,run_112,10002138,success,TRUE,completed,3626,1012,NA
gpt_terra,basic,k_fixed,113,fixed,15,openai,gpt-5.6-terra,primary,run_113,10002139,success,TRUE,completed,3626,1001,NA
gpt_terra,basic,k_fixed,114,fixed,15,openai,gpt-5.6-terra,primary,run_114,10002140,success,TRUE,completed,3626,1062,NA
gpt_terra,basic,k_fixed,115,fixed,15,openai,gpt-5.6-terra,primary,run_115,10002141,success,TRUE,completed,3626,1512,NA
gpt_terra,basic,k_fixed,116,fixed,15,openai,gpt-5.6-terra,primary,run_116,10002142,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,117,fixed,15,openai,gpt-5.6-terra,primary,run_117,10002143,success,TRUE,completed,3626,1186,NA
gpt_terra,basic,k_fixed,118,fixed,15,openai,gpt-5.6-terra,primary,run_118,10002144,success,TRUE,completed,3626,1468,NA
gpt_terra,basic,k_fixed,119,fixed,15,openai,gpt-5.6-terra,primary,run_119,10002145,success,TRUE,completed,3626,1018,NA
gpt_terra,basic,k_fixed,120,fixed,15,openai,gpt-5.6-terra,primary,run_120,10002146,success,TRUE,completed,3626,973,NA
gpt_terra,basic,k_fixed,121,fixed,15,openai,gpt-5.6-terra,primary,run_121,10002147,success,TRUE,completed,3626,1167,NA
gpt_terra,basic,k_fixed,122,fixed,15,openai,gpt-5.6-terra,primary,run_122,10002148,success,TRUE,completed,3626,1145,NA
gpt_terra,basic,k_fixed,123,fixed,15,openai,gpt-5.6-terra,primary,run_123,10002149,success,TRUE,completed,3626,963,NA
gpt_terra,basic,k_fixed,124,fixed,15,openai,gpt-5.6-terra,primary,run_124,10002150,success,TRUE,completed,3626,1110,NA
gpt_terra,basic,k_fixed,125,fixed,15,openai,gpt-5.6-terra,primary,run_125,10002151,success,TRUE,completed,3626,1135,NA
gpt_terra,basic,k_fixed,126,fixed,15,openai,gpt-5.6-terra,primary,run_126,10002152,success,TRUE,completed,3626,1160,NA
gpt_terra,basic,k_fixed,127,fixed,15,openai,gpt-5.6-terra,primary,run_127,10002153,success,TRUE,completed,3626,1024,NA
gpt_terra,basic,k_fixed,128,fixed,15,openai,gpt-5.6-terra,primary,run_128,10002154,success,TRUE,completed,3626,1012,NA
gpt_terra,basic,k_fixed,129,fixed,15,openai,gpt-5.6-terra,primary,run_129,10002155,success,TRUE,completed,3626,1027,NA
gpt_terra,basic,k_fixed,130,fixed,15,openai,gpt-5.6-terra,primary,run_130,10002156,success,TRUE,completed,3626,1314,NA
gpt_terra,basic,k_fixed,131,fixed,15,openai,gpt-5.6-terra,primary,run_131,10002157,success,TRUE,completed,3626,1049,NA
gpt_terra,basic,k_fixed,132,fixed,15,openai,gpt-5.6-terra,primary,run_132,10002158,success,TRUE,completed,3626,1307,NA
gpt_terra,basic,k_fixed,133,fixed,15,openai,gpt-5.6-terra,primary,run_133,10002159,success,TRUE,completed,3626,1166,NA
gpt_terra,basic,k_fixed,134,fixed,15,openai,gpt-5.6-terra,primary,run_134,10002160,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,135,fixed,15,openai,gpt-5.6-terra,primary,run_135,10002161,success,TRUE,completed,3626,1185,NA
gpt_terra,basic,k_fixed,136,fixed,15,openai,gpt-5.6-terra,primary,run_136,10002162,success,TRUE,completed,3626,1257,NA
gpt_terra,basic,k_fixed,137,fixed,15,openai,gpt-5.6-terra,primary,run_137,10002163,success,TRUE,completed,3626,1167,NA
gpt_terra,basic,k_fixed,138,fixed,15,openai,gpt-5.6-terra,primary,run_138,10002164,success,TRUE,completed,3626,1000,NA
gpt_terra,basic,k_fixed,139,fixed,15,openai,gpt-5.6-terra,primary,run_139,10002165,success,TRUE,completed,3626,997,NA
gpt_terra,basic,k_fixed,140,fixed,15,openai,gpt-5.6-terra,primary,run_140,10002166,success,TRUE,completed,3626,1206,NA
gpt_terra,basic,k_fixed,141,fixed,15,openai,gpt-5.6-terra,primary,run_141,10002167,success,TRUE,completed,3626,1005,NA
gpt_terra,basic,k_fixed,142,fixed,15,openai,gpt-5.6-terra,primary,run_142,10002168,success,TRUE,completed,3626,1285,NA
gpt_terra,basic,k_fixed,143,fixed,15,openai,gpt-5.6-terra,primary,run_143,10002169,success,TRUE,completed,3626,1372,NA
gpt_terra,basic,k_fixed,144,fixed,15,openai,gpt-5.6-terra,primary,run_144,10002170,success,TRUE,completed,3626,1036,NA
gpt_terra,basic,k_fixed,145,fixed,15,openai,gpt-5.6-terra,primary,run_145,10002171,success,TRUE,completed,3626,953,NA
gpt_terra,basic,k_fixed,146,fixed,15,openai,gpt-5.6-terra,primary,run_146,10002172,success,TRUE,completed,3626,987,NA
gpt_terra,basic,k_fixed,147,fixed,15,openai,gpt-5.6-terra,primary,run_147,10002173,success,TRUE,completed,3626,1124,NA
gpt_terra,basic,k_fixed,148,fixed,15,openai,gpt-5.6-terra,primary,run_148,10002174,success,TRUE,completed,3626,1032,NA
gpt_terra,basic,k_fixed,149,fixed,15,openai,gpt-5.6-terra,primary,run_149,10002175,success,TRUE,completed,3626,980,NA
gpt_terra,basic,k_fixed,150,fixed,15,openai,gpt-5.6-terra,primary,run_150,10002176,success,TRUE,completed,3626,1181,NA
gpt_terra,basic,k_fixed,151,fixed,15,openai,gpt-5.6-terra,primary,run_151,10002177,success,TRUE,completed,3626,1017,NA
gpt_terra,basic,k_fixed,152,fixed,15,openai,gpt-5.6-terra,primary,run_152,10002178,success,TRUE,completed,3626,972,NA
gpt_terra,basic,k_fixed,153,fixed,15,openai,gpt-5.6-terra,primary,run_153,10002179,success,TRUE,completed,3626,986,NA
gpt_terra,basic,k_fixed,154,fixed,15,openai,gpt-5.6-terra,primary,run_154,10002180,success,TRUE,completed,3626,979,NA
gpt_terra,basic,k_fixed,155,fixed,15,openai,gpt-5.6-terra,primary,run_155,10002181,success,TRUE,completed,3626,1435,NA
gpt_terra,basic,k_fixed,156,fixed,15,openai,gpt-5.6-terra,primary,run_156,10002182,success,TRUE,completed,3626,966,NA
gpt_terra,basic,k_fixed,157,fixed,15,openai,gpt-5.6-terra,primary,run_157,10002183,success,TRUE,completed,3626,979,NA
gpt_terra,basic,k_fixed,158,fixed,15,openai,gpt-5.6-terra,primary,run_158,10002184,success,TRUE,completed,3626,1001,NA
gpt_terra,basic,k_fixed,159,fixed,15,openai,gpt-5.6-terra,primary,run_159,10002185,success,TRUE,completed,3626,988,NA
gpt_terra,basic,k_fixed,160,fixed,15,openai,gpt-5.6-terra,primary,run_160,10002186,success,TRUE,completed,3626,1133,NA
gpt_terra,quality,k_fixed,1,fixed,15,openai,gpt-5.6-terra,primary,run_161,10002187,success,TRUE,completed,3656,1033,NA
gpt_terra,quality,k_fixed,2,fixed,15,openai,gpt-5.6-terra,primary,run_162,10002188,success,TRUE,completed,3656,1055,NA
